AN_BASE,NM_PROGRAMA_IES,AN_INICIO_PROGRAMA,SG_ENTIDADE_ENSINO,NM_AREA_AVALIACAO,NM_MODALIDADE_PROGRAMA,NM_AREA_CONCENTRACAO,ID_PROJETO,NM_PROJETO,NM_NATUREZA_PROJETO,DH_INICIO,DT_SITUACAO_ATUAL,IN_BOLSA,IN_OUTRO_AUXILIO,IN_RESPONSAVEL_PROJETO,ID_PESSOA,DS_TIPO_MEMBRO,NM_PAIS_NACIONALIDADE_MEMBRO
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189563,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PESQUISA,01/01/2009,01/01/2009,NÃO,SIM,0,11813,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189563,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PESQUISA,01/01/2009,01/01/2009,NÃO,SIM,0,318692,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189563,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PESQUISA,01/01/2009,01/01/2009,NÃO,SIM,0,1321256,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189563,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PESQUISA,01/01/2009,01/01/2009,NÃO,SIM,0,930780,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189579,COLABORAÇÃO CIENTÍFICA COM O LIGO (LASER INTERFEROMETER GRAVITATIONAL OBSERVATORY),PROJETO INTERINSTITUCIONAL,01/01/2011,01/01/2011,SIM,NÃO,0,2432051,DISCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189579,COLABORAÇÃO CIENTÍFICA COM O LIGO (LASER INTERFEROMETER GRAVITATIONAL OBSERVATORY),PROJETO INTERINSTITUCIONAL,01/01/2011,01/01/2011,SIM,NÃO,0,1491061,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189579,COLABORAÇÃO CIENTÍFICA COM O LIGO (LASER INTERFEROMETER GRAVITATIONAL OBSERVATORY),PROJETO INTERINSTITUCIONAL,01/01/2011,01/01/2011,SIM,NÃO,0,442024,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189579,COLABORAÇÃO CIENTÍFICA COM O LIGO (LASER INTERFEROMETER GRAVITATIONAL OBSERVATORY),PROJETO INTERINSTITUCIONAL,01/01/2011,01/01/2011,SIM,NÃO,1,22350,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,0,402994,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,0,14827,PARTICIPANTE EXTERNO,BRASIL
