ID_PROJETO,ID_PESSOA,NM_PROJETO,DS_TIPO_MEMBRO
189435,83701,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,PARTICIPANTE EXTERNO
189435,419100,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,PARTICIPANTE EXTERNO
189435,156276,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,PARTICIPANTE EXTERNO
189435,306799,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,PARTICIPANTE EXTERNO
189435,472544,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,PARTICIPANTE EXTERNO
518991,659292,EFEITOS DO AVANÇO DA FRONTEIRA AGRÍCOLA SOBRE A BIODIVERSIDADE: O ESTUDO DA PERDA DE ESPÉCIES DE PEQUENOS MAMÍFEROS NÃO VOADORES A PARTIR DA MODELAGEM DA PERDA E HABITAT.,DISCENTE
518991,524412,EFEITOS DO AVANÇO DA FRONTEIRA AGRÍCOLA SOBRE A BIODIVERSIDADE: O ESTUDO DA PERDA DE ESPÉCIES DE PEQUENOS MAMÍFEROS NÃO VOADORES A PARTIR DA MODELAGEM DA PERDA E HABITAT.,DOCENTE
519204,269635,PROJEÇÕES HIDROLÓGICAS EM GRANDES BACIAS,DOCENTE
600804,229199,PROJETO DE PESQUISA TEMÁTICO DA FAPESP - FENÔMENOS DINÂMICOS EM REDES COMPLEXAS: FUNDAMENTOS E APLICAÇÕES,DOCENTE
600804,15173,PROJETO DE PESQUISA TEMÁTICO DA FAPESP - FENÔMENOS DINÂMICOS EM REDES COMPLEXAS: FUNDAMENTOS E APLICAÇÕES,DOCENTE
600804,98568,PROJETO DE PESQUISA TEMÁTICO DA FAPESP - FENÔMENOS DINÂMICOS EM REDES COMPLEXAS: FUNDAMENTOS E APLICAÇÕES,DOCENTE
600804,966271,PROJETO DE PESQUISA TEMÁTICO DA FAPESP - FENÔMENOS DINÂMICOS EM REDES COMPLEXAS: FUNDAMENTOS E APLICAÇÕES,DOCENTE
600804,15941,PROJETO DE PESQUISA TEMÁTICO DA FAPESP - FENÔMENOS DINÂMICOS EM REDES COMPLEXAS: FUNDAMENTOS E APLICAÇÕES,PARTICIPANTE EXTERNO
600804,1054181,PROJETO DE PESQUISA TEMÁTICO DA FAPESP - FENÔMENOS DINÂMICOS EM REDES COMPLEXAS: FUNDAMENTOS E APLICAÇÕES,PARTICIPANTE EXTERNO
189622,528516,"PROJETO FÊNIX AMAZÔNICO, RENASCENDO DAS CINZAS DA DESTRUIÇÃO",DOCENTE
189412,21431,PREVISÃO DE TEMPESTADES GEOMAGNÉTICAS,DOCENTE
189412,535091,PREVISÃO DE TEMPESTADES GEOMAGNÉTICAS,DOCENTE
189412,10789,PREVISÃO DE TEMPESTADES GEOMAGNÉTICAS,DOCENTE
189412,293329,PREVISÃO DE TEMPESTADES GEOMAGNÉTICAS,PARTICIPANTE EXTERNO
189412,472544,PREVISÃO DE TEMPESTADES GEOMAGNÉTICAS,PARTICIPANTE EXTERNO
475241,255330,RADIAÇÃO DE ALTA ENERGIA ASSOCIADA A TEMPESTADES,DOCENTE
475241,524802,RADIAÇÃO DE ALTA ENERGIA ASSOCIADA A TEMPESTADES,DOCENTE
475241,1146799,RADIAÇÃO DE ALTA ENERGIA ASSOCIADA A TEMPESTADES,DISCENTE
475241,822551,RADIAÇÃO DE ALTA ENERGIA ASSOCIADA A TEMPESTADES,DISCENTE
475241,114151,RADIAÇÃO DE ALTA ENERGIA ASSOCIADA A TEMPESTADES,PARTICIPANTE EXTERNO
475241,323926,RADIAÇÃO DE ALTA ENERGIA ASSOCIADA A TEMPESTADES,PARTICIPANTE EXTERNO
189423,517225,SONDAGEM ATMOSFÉRICA VIA LIDAR (RADAR DE LASER-LIDAR),DOCENTE
189423,22125,SONDAGEM ATMOSFÉRICA VIA LIDAR (RADAR DE LASER-LIDAR),DOCENTE
189423,52877,SONDAGEM ATMOSFÉRICA VIA LIDAR (RADAR DE LASER-LIDAR),PÓS-DOC
189423,274333,SONDAGEM ATMOSFÉRICA VIA LIDAR (RADAR DE LASER-LIDAR),PARTICIPANTE EXTERNO
578276,18232,BRA/05/G31/1G/A/01 ? SEGUNDA COMUNICAÇÃO NACIONAL DO BRASIL À CQNUMC,DOCENTE
578276,15173,BRA/05/G31/1G/A/01 ? SEGUNDA COMUNICAÇÃO NACIONAL DO BRASIL À CQNUMC,DOCENTE
189647,523944,INCT-CLIMA - INSTITUTO NACIONAL DE CIÊNCIA E TECNOLOGIA PARA MUDANÇAS CLIMÁTICAS,DOCENTE
576601,15173,INCT-MC2,DOCENTE
576601,7699,INCT-MC2,DOCENTE
380583,121935,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,PARTICIPANTE EXTERNO
380583,5670,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,DOCENTE
380583,267533,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,DOCENTE
380583,838698,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,DOCENTE
380583,523053,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,DOCENTE
380583,430344,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,DOCENTE
380583,528597,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,DOCENTE
380583,444058,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,PARTICIPANTE EXTERNO
380583,1133634,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,PARTICIPANTE EXTERNO
380583,2085268,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,PARTICIPANTE EXTERNO
380583,84186,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,PARTICIPANTE EXTERNO
380583,262365,ESTUDO DA DINÂMICA DOS CINTURÕES DE RADIAÇÃO TERRESTRES,DISCENTE
